remarks,commit_url,commit_message,commit_url,repository,commit_hash,modified_file
"Not a function change, just a change within a cpp file",https://github.com/ClickHouse/ClickHouse/commit/2fa5e4891fd8c523a095b1bfe0aa882c0966859a,Update modulo.cpp,https://github.com/ClickHouse/ClickHouse.git/commit/2fa5e4891fd8c523a095b1bfe0aa882c0966859a,https://github.com/ClickHouse/ClickHouse.git,2fa5e4891fd8c523a095b1bfe0aa882c0966859a,modulo.cpp
SIngle function change. I scrolled up to verify,https://github.com/qbittorrent/qBittorrent/commit/dc4d0a7078e042b12edca2a3d5cd7d70b2794dec,Allow/Fix special characters in json replies in WebUI,https://github.com/qbittorrent/qBittorrent.git/commit/dc4d0a7078e042b12edca2a3d5cd7d70b2794dec,https://github.com/qbittorrent/qBittorrent.git,dc4d0a7078e042b12edca2a3d5cd7d70b2794dec,json.cpp
SIngle function change. I scrolled up to verify,https://github.com/qbittorrent/qBittorrent/commit/18e0d122fbc97d8634ed865454eda9c9cc5c832f,Add tooltip to episode filter text edit,https://github.com/qbittorrent/qBittorrent.git/commit/18e0d122fbc97d8634ed865454eda9c9cc5c832f,https://github.com/qbittorrent/qBittorrent.git,18e0d122fbc97d8634ed865454eda9c9cc5c832f,automatedrssdownloader.cpp
SIngle function change. Function name was mentioned,https://github.com/qbittorrent/qBittorrent/commit/dedd31ada528df02048ba66fead0a37f06dc1dbe,Fix crash when delete RSS feed,https://github.com/qbittorrent/qBittorrent.git/commit/dedd31ada528df02048ba66fead0a37f06dc1dbe,https://github.com/qbittorrent/qBittorrent.git,dedd31ada528df02048ba66fead0a37f06dc1dbe,feedlistwidget.cpp
SIngle function change. Function name was mentioned,https://github.com/qbittorrent/qBittorrent/commit/534ed91d043abfe8ad7ccd307e4c8b060bdaf214,Change MixedModeAlgorithm default to TCP. Closes #7779.,https://github.com/qbittorrent/qBittorrent.git/commit/534ed91d043abfe8ad7ccd307e4c8b060bdaf214,https://github.com/qbittorrent/qBittorrent.git,534ed91d043abfe8ad7ccd307e4c8b060bdaf214,
SIngle function change. Function name was mentioned,https://github.com/qbittorrent/qBittorrent/commit/2f1a0ffe5c3e01a1903809106df7156e86a22201,Use a more detailed alert mask where possible,https://github.com/qbittorrent/qBittorrent.git/commit/2f1a0ffe5c3e01a1903809106df7156e86a22201,https://github.com/qbittorrent/qBittorrent.git,2f1a0ffe5c3e01a1903809106df7156e86a22201,
SIngle function change. Function name was mentioned,https://github.com/qbittorrent/qBittorrent/commit/7de0f9abed1afe5153c03978a817aea349baeb26,Change number of time axis divisions from 5 to 6 for convenience,https://github.com/qbittorrent/qBittorrent.git/commit/7de0f9abed1afe5153c03978a817aea349baeb26,https://github.com/qbittorrent/qBittorrent.git,7de0f9abed1afe5153c03978a817aea349baeb26,speedplotview.cpp
SIngle function change. Function name was mentioned,https://github.com/simdjson/simdjson/commit/3e226795f062268c45f8deb4256a78795fa8147c,"Run all passing json against parse_many. Empty documents pass, too.",https://github.com/simdjson/simdjson.git/commit/3e226795f062268c45f8deb4256a78795fa8147c,https://github.com/simdjson/simdjson.git,3e226795f062268c45f8deb4256a78795fa8147c,parse_many_test.cpp
SIngle function change. Function name was mentioned,https://github.com/simdjson/simdjson/commit/b1478c37f657d8975309f6a6f876ae1e608f056d,Fix arm64 build,https://github.com/simdjson/simdjson.git/commit/b1478c37f657d8975309f6a6f876ae1e608f056d,https://github.com/simdjson/simdjson.git,b1478c37f657d8975309f6a6f876ae1e608f056d,dom_parser_implementation.cpp
Single function and a header change,https://github.com/simdjson/simdjson/commit/b61f2799a8b1853a2f90491464bca7b337818e3b,This makes the float errors explicit.,https://github.com/simdjson/simdjson.git/commit/b61f2799a8b1853a2f90491464bca7b337818e3b,https://github.com/simdjson/simdjson.git,b61f2799a8b1853a2f90491464bca7b337818e3b,diff_results.h
